Manuel-Ruben-PF2-solid_clip	s-MPFSW1_clip	s-MPFSW2_clip	s-MPFSW3_clip	s-Mst-SWPF1_clip	s-Mst-SWPF2_clip	s-PFSW1_clip	s-PFSW10_clip	s-PFSW11_clip	s-PFSW12_clip	s-PFSW13_clip	s-PFSW14_clip	s-PFSW15_clip	s-PFSW16_clip	s-PFSW17_clip	s-PFSW18_clip	s-PFSW19_clip	s-PFSW2_clip	s-PFSW20_clip	s-PFSW3_clip	s-PFSW4_clip	s-PFSW5_clip	s-PFSW6_clip	s-PFSW7_clip	s-PFSW8_clip	s-PFSW9_clip	s-st-SWPF1_clip	s-st-SWPF2_clip	s-st-SWPF3_clip	s-st-SWPF4_clip	s-st-SWPF5_clip	s-st-SWPF6_clip	w-AT-112-1-MRFilter1_clip	w-AT-112-1-MRFilter2_clip	w-AT-114-1-MRFilter1_clip	w-AT-114-1-MRFilter2_clip	w-MPFSW1_clip	w-MPFSW2_clip	w-MPFSW3_clip	w-Mst-SW1_clip	w-Mst-SW2_clip	w-Mst-SWPF1_clip	w-Mst-SWPF2_clip	w-negativ-25c_clip	w-negativ-30c_clip	w-OriginalSW1_clip	w-OriginalSW2_clip	w-OriginalSW3_clip	w-PFSW1_clip	w-PFSW10_clip	w-PFSW11_clip	w-PFSW12_clip	w-PFSW13_clip	w-PFSW14_clip	w-PFSW15_clip	w-PFSW16_clip	w-PFSW17_clip	w-PFSW18_clip	w-PFSW19_clip	w-PFSW2_clip	w-PFSW20_clip	w-PFSW3_clip	w-PFSW4_clip	w-PFSW5_clip	w-PFSW6_clip	w-PFSW7_clip	w-PFSW8_clip	w-PFSW9_clip	w-st-SW1_clip	w-st-SW2_clip	w-st-SW3_clip	w-st-SW4_clip	w-st-SW5_clip	w-st-SW6_clip	w-st-SWPF1_clip	w-st-SWPF2_clip	w-st-SWPF3_clip	w-st-SWPF4_clip	w-st-SWPF5_clip	w-st-SWPF6_clip
asv22	0	23	10	8	0	3	1	27	10	13	15	18	32	8	28	22	12	1	11	3	4	2	11	5	7	10	5	5	4	3	0	2	6	5	1	2	7826	2288	4446	2	4	2	1	1	37	0	2	0	1	2495	3798	7526	7559	13383	8171	8106	5255	1644	3419	1	1931	4	3	7	7	4	38	224	83	2	46	1	1	0	2	2	2	4	2	1
asv23	0	1557	929	989	0	2	4	2814	4977	4748	2060	4655	2478	1252	732	489	483	15	1855	2	200	3055	2297	2085	2746	2950	0	1	1	1	0	31857	1	0	7	0	111	187	40	0	10	2	0	0	0	47	54	82	11	7	66	65	38	148	86	352	13	9	22	18	77	23	19	17	44	19	13	12	7	3	1	1	0	0	0	1	1	10	0	719
asv24	7374	593	493	721	554	963	4646	1128	1255	1036	736	970	1018	603	1606	1259	933	6879	553	5755	2120	2100	1253	2077	1720	1058	7330	3253	1698	1753	1401	1136	0	0	0	1	65	166	54	0	1	7	7	0	0	0	1	0	2709	5	32	19	14	67	46	123	99	34	46	2487	41	2089	548	19	10	25	6	8	0	0	0	1	0	1	2	9	4	8	5	34
asv25	0	3863	2390	3674	2	24740	4	28	94	143	49	328	555	1089	5461	6908	5483	16	1976	5	3	1	4	3	4	12	0	0	0	1	0	0	6	2	50	35	836	1365	577	10	1	2	11681	0	1	4	1	9	35	6	7	3	5	80	67	910	897	347	509	0	359	14	2	5	3	1	5	3	0	0	0	5	0	0	0	3	0	0	0	1
asv26	0	146	95	156	5935	6698	13	1057	709	499	657	265	155	56	177	124	111	13	98	12	663	1511	1409	1296	1109	1135	0	12951	2603	1424	4606	4160	1	12	2	0	19	11	10	18	714	206	121	2	1	52	52	80	20	158	104	55	30	162	4	1	3	5	6	33	4	24	33	876	1405	1334	1802	509	34	112	38	33	447	6	1	8	15529	134	216	269
asv27	0	38	25	21	3217	5	18	396	368	221	107	76	43	25	60	55	22	5	11	7	169	1141	1058	1104	477	332	1	8309	3548	5923	9850	6698	8	12	4	1	3	11	9	18	272	263	3	0	2	15	8	17	2	151	91	42	31	176	8	9	3	2	4	8	2	8	6	62	123	90	775	366	20	54	24	4307	0	6	3	7	16325	1655	1358	830
asv28	6	24	22	19	36	37	48	26	24	16	21	22	23	15	34	20	28	30	32	36	33	44	43	45	19	20	17	14	9	3	7	9	7437	7995	4282	6000	268	312	141	168	281	31	16	9	9	5632	7492	8772	2048	269	140	197	101	32	86	97	92	61	91	2620	54	3789	693	248	506	224	307	113	2338	298	979	1206	837	64	7	11	8	17	14	41
asv29	0	6993	4067	7420	2	1	1	870	0	4765	1659	496	2824	2385	6643	9271	4207	1	3649	0	5	1	5	4	16	119	5	0	1	0	0	0	5	5	13	19	1054	1607	868	0	2	0	3	0	2	2	0	1	0	5	0	236	75	66	322	1455	832	334	243	0	427	0	0	1	0	0	0	0	1	2	0	0	2	0	0	0	1	1	0	1
asv30	7234	416	295	247	234	506	3839	943	1060	754	625	718	626	383	1024	833	703	5722	441	3533	1820	1354	1618	1796	1554	854	7113	2941	1182	1139	841	629	0	0	0	0	35	86	20	2	0	4	4	0	2	0	2	0	2491	9	14	27	9	21	19	48	52	9	13	2055	14	1545	474	7	8	12	6	6	0	0	0	0	0	1	0	10	1	2	10	12
asv31	0	14	20	15	11	2	43	50	52	83	38	54	63	37	108	121	64	50	73	48	245	281	231	197	118	81	7	1	4	2	15	48	1	2	1	1	292	252	318	3	38	5	11	0	0	6583	6314	8348	2834	2038	1189	415	184	270	70	188	203	120	307	3883	163	7355	3326	1142	2473	1545	2463	2625	270	16	51	28	100	3	5	2	4	2	11	53
asv32	0	205	214	130	70	338	1	702	447	419	364	460	339	164	305	201	219	6	174	1	48	684	468	601	647	518	14	0	1	1	2	2	56	29	113	40	473	562	898	1624	7455	404	753	0	0	135	159	210	65	1678	557	228	75	280	49	218	45	217	642	53	585	139	72	180	283	168	513	264	16	4	2	2	20320	0	0	0	33	2	9	1
asv33	255	17	5	8	27	55	161	30	19	28	8	17	11	16	21	20	11	264	6	249	173	52	52	81	47	29	225	212	75	89	83	54	0	1	3	2	3	17	18	5	4	1219	1355	1	2	0	0	0	404	612	230	65	26	25	1	15	3	5	2	342	12	354	4952	4143	3415	1403	1061	750	77	109	8	5	0	0	0	6010	5381	4531	2317	1718
asv34	0	1344	752	1423	121	71	32	1351	2100	3049	1008	974	1260	541	1973	679	742	55	1341	25	565	1725	1343	1098	1761	1782	3	2	17	117	10	160	636	411	217	155	69	134	39	140	781	27	7	0	1	850	883	1211	285	169	272	139	55	91	61	177	55	25	18	366	54	367	149	407	760	738	1446	544	17	2	12	71	21	7	1	0	4	31	1	118
asv35	3	2	4	3	9	4	13	3	1	4	3	3	8	4	2	2	1	5	4	11	9	7	5	8	5	5	7	3	0	3	2	1	4357	10064	2307	4953	4	11	5	5	8	4	1	0	3	2513	3012	3900	1258	35	9	27	10	2	1	3	4	2	1	1642	2	3050	241	36	57	38	25	45	3	1	8	8	2	2	8	1	2	0	2	1
asv36	0	138	90	152	1	2	1	347	1165	1592	1121	1201	35	150	211	172	131	0	49	0	0	2	1	0	7	39	0	0	0	2	0	0	3	0	4	3	5	30	5	0	0	1	0	0	0	0	0	7	0	448	4702	11111	12629	1481	12	25	6	0	1	0	0	0	0	0	0	0	0	9	2	0	0	0	0	0	1	1	0	0	0	0
asv37	0	27	60	68	2007	1215	3	256	49	54	124	71	139	33	77	55	30	6	7	1	94	55	39	38	81	197	0	5352	1928	3068	3362	1854	31	26	4	3	1	4	6	910	5834	183	96	3	0	30	34	41	7	11	11	5	2	3	0	0	1	6	1	13	5	12	68	91	198	143	50	29	93	374	161	83	286	5	2	4754	1347	1001	377	173
asv38	0	1670	1097	1158	1	0	0	2461	5104	1563	1326	3265	1335	960	1541	774	816	0	2349	3	24	961	300	533	1728	3164	0	0	0	0	1	0	69	29	1	3	148	395	137	1	2	0	1	2	0	2	3	2	0	543	108	28	38	163	77	324	35	28	36	3	94	0	1	189	18	96	816	1323	3	3	0	1	0	0	1	0	0	0	0	0
asv39	0	0	266	1	4	0	0	0	1	0	2	1	13	85	668	264	339	0	3	7	8	4	21	6	1	0	6	0	2	0	0	0	1	0	0	0	0	4722	4	0	0	0	0	0	0	8	0	2	2	0	4	0	1	0	1	6642	15111	2191	6148	1	1	3	0	0	0	0	0	4	10	8	0	0	3	0	2	0	0	0	0	0
asv40	0	1159	1451	2479	1	0	1	621	1059	2537	673	2618	1698	1834	6796	2770	3721	0	636	0	1	125	73	75	322	631	0	0	1	1	2	1	6	5	2	5	1875	295	570	1	1	1	0	0	1	2	2	2	1	36	383	66	59	484	151	84	195	185	247	1	306	0	2	0	0	1	9	32	1	0	0	1	0	1	0	0	1	0	2	0
asv41	0	790	628	728	819	486	22	1899	1414	1313	787	822	941	369	1359	1287	1191	47	639	19	108	1039	836	694	1457	1543	2	0	8	0	2133	2281	1	0	2	0	394	754	262	3	2	11	15	0	0	1074	1219	1835	195	141	160	228	99	646	279	182	268	88	223	274	126	337	48	23	27	20	219	128	0	0	0	119	0	0	0	1	0	1	131	99
asv42	0	4	3	2	1	10	8	1385	1051	972	684	41	21	12	9	7	3	6	2	8	135	1105	715	1030	1511	1402	0	0	1034	22279	2	9	8	1	1	0	2	3	10	0	0	0	0	2	0	180	160	188	33	19	26	12	8	2	0	0	7	0	1	51	3	43	20	71	102	37	208	117	10	2	1	0	0	0	0	2	9	235	0	0
asv43	0	3532	1806	1752	0	0	0	380	2259	1386	1085	2176	4869	1995	3617	3121	2131	0	2435	0	3	2	1	4	11	36	2	0	0	0	0	0	0	0	3	6	148	201	78	1	0	0	3	1	1	0	0	0	0	6	32	13	66	59	103	413	88	58	94	0	82	1	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
asv44	0	46	11	73	2	3	0	3	4	6	2	20	9	19	38	22	33	0	92	0	1	0	2	2	1	0	0	1	0	3	0	0	11	5	12	3	3903	1561	11152	1	1	0	0	0	0	0	1	3	0	31	141	517	72	208	3	1901	167	1991	7254	1	4455	0	4	0	0	0	1	1	23	1	26	0	2	1	1	0	0	0	0	0
asv45	0	78	89	29	401	155	12	1082	808	939	527	272	67	32	51	98	56	18	34	15	92	1210	1004	1300	1486	1058	3	0	69	2	708	74	23	8	20	22	330	405	1480	26	224	1537	1303	1	1	407	453	596	42	1143	854	901	645	1740	17	982	346	244	889	55	1054	63	30	10	25	16	1177	1101	24	9	10	1	5	59	0	0	1	1	2536	1047
asv46	2	7	12	5	7	52	0	3	6	14	5	4	3	6	8	10	5	10	12	3	9	6	20	11	9	0	3	3	2	2	1	80	582	677	897	570	1910	2911	1935	0	2	207	747	1	0	1296	1402	1667	492	452	401	398	222	6	167	2669	2188	1583	1222	722	1692	1375	306	142	225	111	281	33	14	1	1	7	2	2	3	2	1	1	9	3370
asv47	0	26	9	26	563	25814	1	2	2	0	2	8	15	4	88	28	618	8	17	3	0	0	0	2	7	0	0	0	16	3123	0	0	1	0	1	1	0	0	2	0	0	0	41	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	32	0	0
asv48	0	5	5	13	897	75	4	179	287	509	100	92	24	17	22	6	5	10	4	17	97	1064	676	613	853	893	4	0	15	1	137	93	1	0	3	0	533	374	647	0	2	1082	237	1	0	929	1120	1299	333	2184	885	186	139	1743	1	24	3	13	31	477	11	684	710	1411	2468	1006	1681	2757	0	2	0	4	0	0	0	0	25	1	187	223
asv49	0	11	9	23	4	1	0	0	1	1	0	2	11	9	4	6	4	0	7	0	1	1	4	3	4	0	0	1	1	0	0	0	134	173	136	136	5796	2322	4849	0	4	0	0	0	0	28	34	45	14	27	54	25	15	0	4	1380	247	5303	3663	20	4721	34	7	0	2	6	3	0	0	0	0	0	0	1	3	2	0	0	0	0
asv50	0	1045	637	40	0	0	1	928	2549	1159	495	3046	110	17	143	2680	69	1	1385	0	0	4	4	4	3	917	0	4	0	1	0	1	2	1	0	0	6675	878	16	0	0	1	2	0	0	0	4	2	0	19	148	35	16	305	1	1	0	1110	2	0	4000	0	2	2	4	4	4	25	203	1	1	0	2	1	0	1	1	1	1	0
asv51	0	35	34	50	0	0	1	587	1585	905	585	857	205	56	145	79	65	0	49	0	0	4	0	0	8	65	1	0	0	0	2	0	4	0	0	0	1	4	0	0	0	0	0	0	0	2	3	2	0	692	5736	7620	8223	848	133	4	3	0	0	0	0	1	1	2	2	0	0	11	0	9	0	2	0	0	0	1	0	0	0	0
asv52	0	1376	1679	1855	0	0	1	301	605	450	176	1268	1248	1044	4908	3743	3042	1	1969	0	1	0	1	1	2	32	2	0	0	0	4	0	0	2	1	1	60	258	70	1	1	0	0	1	2	0	0	2	1	881	187	248	482	91	73	254	188	46	72	1	106	1	0	1	0	2	0	3	1	1	0	1	0	0	1	0	1	2	0	1
asv53	0	23	9	12	0	0	0	0	0	0	1	1	61	70	214	63	52	0	9	1	2	1	10	2	2	0	0	2	1	0	0	0	0	1	0	0	7194	615	674	0	0	0	0	0	0	12	10	16	9	1	1	0	0	2	84	4991	8808	1634	1787	5	339	5	2	1	1	0	1	2	7	0	0	0	0	0	0	0	0	0	0	0
asv54	0	1249	1261	1215	0	0	1	2218	2161	1391	1510	2062	1941	1119	2898	1411	1798	0	1439	0	2	24	35	23	233	926	0	0	0	1	1	0	0	0	0	0	117	318	71	0	0	0	2	2	0	3	2	1	0	3	26	20	10	95	87	469	160	39	58	0	127	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
asv55	0	2	2298	5445	0	0	0	0	0	1	0	197	0	4438	3295	6	2513	0	7730	0	1	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	5	68	69	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	237	22	0	51	0	142	0	1	0	0	0	2	0	1	0	0	1	2	0	0	0	0	0	0	0
asv56	1981	192	183	240	189	312	1802	368	440	320	315	363	386	178	553	408	338	2918	197	2378	697	620	383	720	608	340	3341	946	777	683	580	465	2	0	1	2	13	38	10	0	0	0	0	1	0	0	0	0	576	1	2	4	1	10	29	10	22	2	5	432	6	295	62	2	1	4	1	0	1	0	0	0	1	0	0	3	0	2	1	3
asv57	2	0	4	0	3	0	8	3	2	0	2	1	0	2	0	5	4	1	0	5	4	2	0	4	0	1	0	0	0	0	0	2	834	844	8940	14418	1	1	2	2	9	1	0	4	0	45	58	90	2	0	0	0	0	1	1	0	0	0	0	10	0	2	1	0	1	3	0	0	0	2	2	3	0	0	0	1	0	2	1	0
asv58	0	1217	2448	3153	0	1	0	27	249	146	48	240	2527	2167	2331	1025	556	0	3897	1	1	0	1	1	0	3	1	0	1	0	0	0	0	1	8	11	305	1540	418	1	0	0	1	0	1	0	0	1	0	0	11	1	0	25	167	1459	222	140	127	0	416	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
asv59	0	1	0	3303	0	0	0	14	1	31	16	5	354	1557	11313	9	7630	0	0	0	2	2	0	1	0	21	0	0	0	0	2	0	1	0	0	0	6	1	29	3	0	2	0	2	0	0	0	0	0	0	2	6	1	6	4	37	76	0	54	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
asv60	1	0	4	2	9	2	3	11	13	4	2	2	1	0	1	2	5	5	2	4	11	24	16	22	22	1	1	2	0	26	29	2	192	138	314	321	5	1	199	3364	3759	135	8	3	0	875	859	1077	541	1296	597	342	175	17	4	65	1	386	58	653	20	1324	534	300	413	395	1180	18	16	21	3080	4	1	8	0	1	2	697	824	0
asv61	0	1	15	39	1	1	4	8	6	2	33	1	21	18	57	14	113	9	26	14	17	5	9	5	2	0	4	6	2	0	1	57	0	0	0	1	52	4453	5083	5	0	0	0	0	0	1581	1816	2443	688	71	108	195	85	0	111	1044	345	166	2122	757	396	1296	255	35	59	63	74	8	367	64	77	17	3	1	2	2	0	0	0	78
